iter	Passed	Remaining
0	5	518
1	9	468
2	14	464
3	17	411
4	19	378
5	22	351
6	25	332
7	27	317
8	29	301
9	31	284
10	33	272
11	36	265
12	38	259
13	41	252
14	43	248
15	46	243
16	48	238
17	51	233
18	54	230
19	56	226
20	59	222
21	61	218
22	64	214
23	66	211
24	69	207
25	71	204
26	74	200
27	77	199
28	80	196
29	82	192
30	84	187
31	86	184
32	88	180
33	91	177
34	93	173
35	95	169
36	97	165
37	98	161
38	100	156
39	102	154
40	104	149
41	104	144
42	105	140
43	107	136
44	108	132
45	109	128
46	110	124
47	113	122
48	115	119
49	117	117
50	119	114
51	120	111
52	122	108
53	124	105
54	124	102
55	126	99
56	128	96
57	130	94
58	132	92
59	133	89
60	135	86
61	136	83
62	137	80
63	138	78
64	147	79
65	152	78
66	155	76
67	158	74
68	160	72
69	163	69
70	165	67
71	167	65
72	168	62
73	170	59
74	172	57
75	173	54
76	175	52
77	176	49
78	178	47
79	180	45
80	182	42
81	183	40
82	185	38
83	187	35
84	190	33
85	191	31
86	194	29
87	195	26
88	196	24
89	197	21
90	199	19
91	202	17
92	204	15
93	206	13
94	209	11
95	211	8
96	213	6
97	215	4
98	218	2
99	220	0
